Acronimo,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
PHI,6.3,2019,2024,2019,1,106,11236,16,256,0,2,4,25,25,Philadelphia Phillies,Pennsylvania,1921828,2,4,67,162,4489,Nick Williams,0.442,0.195364,7,195,14,0.151,0.022801,0.414,0.171396,RF,0.5,5,25,333828,575000,575000,0.0,0.0,403000000,575000,81,-1.18,1.3923999999999999,2,12.718381169256336,13.262125319779487,13.262125319779487
PHI,6.6,2019,2023,2019,1,50,2500,8,64,0,2,4,25,24,Philadelphia Phillies,Pennsylvania,2821925,0,0,32,162,1024,Zach Eflin,0.34,0.11560000000000002,7,215,14,0.16,0.0256,0.198,0.039204,SP,0.5,2,4,590000,590000,590000,59.49,3539.0601,403000000,590000,81,1.46,2.1315999999999997,2,13.287877815881902,13.287877815881902,13.287877815881902
PHI,6.4,2019,2021,2018,3,45,2025,7,49,0,2,4,33,31,Philadelphia Phillies,Pennsylvania,88290945,0,0,24,162,576,Jake Arrieta,0.352,0.12390399999999999,7,230,14,0.156,0.024336,0.148,0.021903999999999996,SP,0.5,4,16,25000000,25000000,25000000,16.71,279.2241,403000000,75000000,81,0.9,0.81,2,17.034386382832476,17.034386382832476,17.034386382832476
PHI,6.3,2019,2020,2019,1,35,1225,7,49,0,2,4,31,31,Philadelphia Phillies,Pennsylvania,19901166,2,4,29,162,841,Logan Morrison,0.663,0.43956900000000004,7,245,14,0.2,0.04000000000000001,0.179,0.032041,DH,0.5,3,9,252672,1000000,1000000,0.0,0.0,403000000,1000000,81,-0.22,0.0484,2,12.439847483913043,13.815510557964274,13.815510557964274
PHI,6.3,2019,2022,2019,1,30,900,7,49,0,2,4,27,26,Philadelphia Phillies,Pennsylvania,4757007,1,1,35,162,1225,Vincent Velasquez,0.615,0.378225,7,205,14,0.233,0.054289000000000004,0.216,0.046655999999999996,SP,0.5,3,9,2249000,2249000,2249000,20.68,427.6624,403000000,2249000,81,0.12,0.0144,2,14.625996230941453,14.625996230941453,14.625996230941453
PHI,6.2,2019,2024,2019,4,59,3481,7,49,500000,2,4,26,25,Philadelphia Phillies,Pennsylvania,11143391,0,0,34,162,1156,Aaron Nola,0.353,0.12460899999999998,7,195,14,0.119,0.014160999999999998,0.21,0.04409999999999999,SP,0.5,2,4,4500000,4000000,4500000,74.35,5527.922499999999,403000000,45000000,81,3.65,13.3225,2,15.319587954740548,15.201804919084164,15.319587954740548
PHI,6.0,2019,0,2019,1,22,484,4,16,0,2,4,29,29,Philadelphia Phillies,Pennsylvania,2459229,1,1,14,162,196,Jose Pirela,0.614,0.376996,7,220,14,0.182,0.033124,0.086,0.007395999999999999,2B,0.5,2,4,83538,575500,575500,0.0,0.0,403000000,575500,81,-0.16,0.0256,2,11.333056897137341,13.262994507144075,13.262994507144075
PHI,6.0,2019,2021,2018,2,40,1600,3,9,0,2,4,36,34,Philadelphia Phillies,Pennsylvania,66179500,0,0,30,162,900,Jason Vargas,0.15,0.0225,7,215,14,0.075,0.005625,0.185,0.034225,SP,0.5,0,0,8000000,8000000,8000000,40.36,1628.9296,403000000,16000000,81,1.62,2.6244000000000005,2,15.89495209964411,15.89495209964411,15.89495209964411
PHI,6.5,2019,2024,2019,1,25,625,2,4,0,2,4,26,25,Philadelphia Phillies,Pennsylvania,1729899,0,0,30,162,900,Nick Pivetta,0.195,0.038025,7,214,14,0.08,0.0064,0.185,0.034225,RP,0.5,0,0,440455,598000,598000,0.0,0.0,403000000,598000,81,-0.47,0.22089999999999999,2,12.995563562499845,13.301346032932768,13.301346032932768
PHI,6.4,2019,0,2019,1,6,36,1,1,0,2,4,25,24,Philadelphia Phillies,Pennsylvania,976056,0,0,16,162,256,Cole Irvin,0.542,0.293764,7,180,14,0.167,0.027889000000000004,0.099,0.009801,P,0.5,0,0,176056,555000,555000,0.0,0.0,403000000,555000,81,-0.35,0.12249999999999998,2,12.07855740522937,13.226723392728571,13.226723392728571
PHI,6.1,2019,2025,2019,1,4,16,1,1,0,2,4,23,23,Philadelphia Phillies,Pennsylvania,398668,0,0,37,162,1369,Ranger Suarez,0.5,0.25,7,217,14,0.25,0.0625,0.228,0.051984,RP,0.5,0,0,334208,555000,555000,0.0,0.0,403000000,555000,81,0.88,0.7744,2,12.719518832618746,13.226723392728571,13.226723392728571
PHI,0.0,2019,2020,2018,2,2,4,0,0,250000,2,4,32,31,Philadelphia Phillies,Pennsylvania,29322437,0,0,47,162,2209,Juan Nicasio,0.0,0.0,7,252,14,0.0,0.0,0.29,0.0841,RP,0.5,0,0,9250000,9000000,9250000,0.0,0.0,403000000,17000000,81,-0.07,0.004900000000000001,2,16.04013410948861,16.012735135300492,16.04013410948861
PHI,0.0,2019,2021,2018,2,2,4,0,0,0,2,4,33,32,Philadelphia Phillies,Pennsylvania,11870236,0,0,72,162,5184,Jared Hughes,0.0,0.0,7,240,14,0.0,0.0,0.444,0.197136,RP,0.5,0,0,525550,2125000,2125000,34.0,1156.0,403000000,4500000,81,0.05,0.0025000000000000005,2,13.172200612251501,14.569282360340654,14.569282360340654
PHI,6.2,2019,2020,2019,1,19,361,0,0,0,2,4,30,29,Philadelphia Phillies,Pennsylvania,25970674,0,0,25,162,625,Drew Smyly,0.05,0.0025000000000000005,7,188,14,0.0,0.0,0.154,0.023716,SP,0.5,0,0,211855,7000000,7000000,4.32,18.6624,403000000,7000000,81,-0.68,0.4624000000000001,2,12.263657357381101,15.761420707019587,15.761420707019587
PHI,6.0,2019,2020,2019,1,3,9,0,0,0,2,4,32,32,Philadelphia Phillies,Pennsylvania,6514682,0,0,32,162,1024,Nick Vincent,0.0,0.0,7,185,14,0.0,0.0,0.198,0.039204,RP,0.5,0,0,86536,555000,555000,0.0,0.0,403000000,0,81,-0.28,0.07840000000000001,2,11.368315791310126,13.226723392728571,13.226723392728571
PHI,6.2,2019,2022,2019,1,1,1,0,0,0,2,4,30,29,Philadelphia Phillies,Pennsylvania,3586869,0,0,68,162,4624,Hector Neris,0.0,0.0,7,227,14,0.0,0.0,0.42,0.17639999999999997,RP,0.5,0,0,1800000,1800000,1800000,90.28,8150.4784,403000000,1800000,81,1.75,3.0625,2,14.403297222866392,14.403297222866392,14.403297222866392
PHI,6.1,2019,2025,2019,1,1,1,0,0,0,2,4,24,24,Philadelphia Phillies,Pennsylvania,1019710,0,0,27,162,729,Seranthony Dominguez,0.0,0.0,7,185,14,0.0,0.0,0.167,0.027889000000000004,RP/CL,0.5,0,0,564000,564000,564000,0.0,0.0,403000000,564000,81,0.0,0.0,2,13.242809530480196,13.242809530480196,13.242809530480196
PHI,6.3,2019,2025,2019,1,1,1,0,0,0,2,4,23,23,Philadelphia Phillies,Pennsylvania,156586,0,0,5,162,25,Enyel De Los Santos,0.0,0.0,7,170,14,0.0,0.0,0.031,0.0009609999999999999,SP,0.5,0,0,71616,555000,555000,0.0,0.0,403000000,555000,81,-0.17,0.028900000000000006,2,11.179073791671597,13.226723392728571,13.226723392728571
PHI,6.3,2019,0,2019,1,1,1,0,0,0,2,4,24,24,Philadelphia Phillies,Pennsylvania,167104,0,0,20,162,400,JD Hammer,0.0,0.0,7,215,14,0.0,0.0,0.124,0.015375999999999999,P,0.5,0,0,167104,555000,555000,0.0,0.0,403000000,555000,81,0.27,0.0729,2,12.0263716520588,13.226723392728571,13.226723392728571
SD,6.4,2019,2026,2018,8,619,383161,164,26896,1000000,5,4,29,28,San Diego Padres,California,82344750,22,484,160,162,25600,Eric Hosmer,0.735,0.540225,2,226,5,0.265,0.07022500000000001,0.988,0.976144,1B,0.4320987654320987,99,9801,21000000,20000000,21000000,9.02,81.3604,326000000,144000000,70,-0.33,0.10890000000000001,0,16.860032995687696,16.811242831518264,16.860032995687696
SD,6.3,2019,2025,2019,1,334,111556,106,11236,0,5,4,20,19,San Diego Padres,California,1255000,22,484,84,162,7056,Fernando Tatis Jr.,0.969,0.9389609999999999,2,217,5,0.317,0.10048900000000001,0.519,0.269361,SS,0.4320987654320987,53,2809,555000,555000,555000,0.0,0.0,326000000,555000,70,4.22,17.8084,0,13.226723392728571,13.226723392728571,13.226723392728571
SD,6.3,2019,2024,2017,6,435,189225,104,10816,2500000,5,4,28,26,San Diego Padres,California,25826369,18,324,155,162,24025,Wil Myers,0.739,0.546121,2,207,5,0.239,0.057121,0.957,0.9158489999999999,LF,0.4320987654320987,53,2809,5500000,3000000,5500000,11.83,139.9489,326000000,83000000,70,-0.35,0.12249999999999998,0,15.520258650202699,14.914122846632385,15.520258650202699
SD,6.1,2019,2024,2019,1,440,193600,95,9025,0,5,4,27,26,San Diego Padres,California,4614232,33,1089,142,162,20164,Hunter Renfroe,0.778,0.605284,2,230,5,0.216,0.046655999999999996,0.877,0.769129,RF,0.4320987654320987,64,4096,582100,582100,582100,60.72,3686.9184,326000000,582100,70,2.6,6.760000000000001,0,13.274397533259826,13.274397533259826,13.274397533259826
SD,6.0,2019,2022,2019,1,311,96721,77,5929,0,5,4,29,29,San Diego Padres,California,2904972,4,16,134,162,17956,Greg Garcia,0.718,0.515524,2,200,5,0.248,0.061503999999999996,0.827,0.6839289999999999,2B,0.4320987654320987,31,961,910000,910000,910000,27.79,772.2841,326000000,910000,70,1.38,1.9043999999999996,0,13.721199878493033,13.721199878493033,13.721199878493033
SD,5.8,2019,2025,2019,1,226,51076,60,3600,0,5,4,23,23,San Diego Padres,California,1034053,8,64,79,162,6241,Francisco Mejia,0.754,0.568516,2,188,5,0.266,0.07075600000000001,0.488,0.238144,C,0.4320987654320987,22,484,508470,556300,556300,0.0,0.0,326000000,556300,70,0.67,0.4489000000000001,0,13.13916149568021,13.229062996063385,13.229062996063385
SD,6.1,2019,2023,2019,1,312,97344,55,3025,0,5,4,26,26,San Diego Padres,California,6607911,11,121,103,162,10609,Austin Hedges,0.563,0.31696899999999995,2,223,5,0.176,0.030975999999999997,0.636,0.404496,C,0.4320987654320987,36,1296,2060000,2060000,2060000,6.17,38.0689,326000000,2060000,70,-0.58,0.3364,0,14.538216540765763,14.538216540765763,14.538216540765763
SD,5.9,2019,2025,2019,1,215,46225,48,2304,0,5,4,22,21,San Diego Padres,California,350864,4,16,71,162,5041,Luis Urias,0.655,0.42902500000000005,2,186,5,0.223,0.049729,0.438,0.191844,SS,0.4320987654320987,24,576,251244,556400,556400,0.0,0.0,326000000,556400,70,0.96,0.9216,0,12.434179857473262,13.229242739031426,13.229242739031426
SD,6.0,2019,2025,2019,1,184,33856,43,1849,0,5,4,24,24,San Diego Padres,California,362592,7,49,69,162,4761,Ty France,0.696,0.48441599999999996,2,205,5,0.234,0.054756000000000006,0.426,0.181476,3B,0.4320987654320987,24,576,262592,555000,555000,0.0,0.0,326000000,555000,70,-0.31,0.0961,0,12.478356775801858,13.226723392728571,13.226723392728571
SD,6.2,2019,0,2019,1,65,4225,14,196,0,5,4,25,24,San Diego Padres,California,782400,0,0,34,162,1156,Austin Allen,0.559,0.31248100000000006,2,220,5,0.215,0.046224999999999995,0.21,0.04409999999999999,C,0.4320987654320987,3,9,298400,555000,555000,0.0,0.0,326000000,555000,70,-0.34,0.11560000000000002,0,12.606190147311743,13.226723392728571,13.226723392728571
SD,6.2,2019,0,2019,1,30,900,7,49,0,5,4,28,27,San Diego Padres,California,80568,2,4,14,162,196,Seth Mejias-Brean,0.803,0.6448090000000001,2,216,5,0.233,0.054289000000000004,0.086,0.007395999999999999,3B,0.4320987654320987,5,25,80568,555000,555000,0.0,0.0,326000000,555000,70,0.42,0.17639999999999997,0,11.29685682732798,13.226723392728571,13.226723392728571
SD,6.2,2019,2023,2019,1,21,441,6,36,0,5,4,27,27,San Diego Padres,California,1921357,0,0,48,162,2304,Matthew Strahm,0.729,0.5314409999999999,2,190,5,0.286,0.08179599999999998,0.296,0.08761599999999999,SP,0.4320987654320987,1,1,581700,581700,581700,28.24,797.4975999999999,326000000,581700,70,0.71,0.5041,0,13.273710129898852,13.273710129898852,13.273710129898852
SD,6.3,2019,2024,2019,1,15,225,5,25,0,5,4,24,24,San Diego Padres,California,1816600,0,0,9,162,81,Franchy Cordero,0.85,0.7224999999999999,2,175,5,0.333,0.11088900000000002,0.056,0.0031360000000000003,OF,0.4320987654320987,1,1,560100,560100,560100,0.0,0.0,326000000,560100,70,0.17,0.028900000000000006,0,13.235870618197923,13.235870618197923,13.235870618197923
SD,6.5,2019,2025,2019,1,42,1764,5,25,0,5,4,23,22,San Diego Padres,California,925184,0,0,26,162,676,Chris Paddack,0.238,0.05664399999999999,2,217,5,0.119,0.014160999999999998,0.161,0.025921000000000003,SP,0.4320987654320987,2,4,525184,555000,555000,87.62,7677.264400000001,326000000,555000,70,2.74,7.507600000000001,0,13.171503956361803,13.226723392728571,13.226723392728571
SD,6.2,2019,0,2019,1,22,484,4,16,0,5,4,28,27,San Diego Padres,California,3646326,0,0,25,162,625,Travis Jankowski,0.432,0.18662399999999998,2,190,5,0.182,0.033124,0.154,0.023716,RF,0.4320987654320987,0,0,1165000,1165000,1165000,0.0,0.0,326000000,1165000,70,-0.14,0.019600000000000003,0,13.968231644981937,13.968231644981937,13.968231644981937
SD,6.3,2019,2025,2019,1,40,1600,4,16,0,5,4,24,23,San Diego Padres,California,3031300,0,0,30,162,900,Eric Lauer,0.272,0.07398400000000001,2,205,5,0.1,0.010000000000000002,0.185,0.034225,SP,0.4320987654320987,0,0,562500,562500,562500,52.04,2708.1616,326000000,562500,70,0.99,0.9801,0,13.240146413060712,13.240146413060712,13.240146413060712
SD,6.0,2019,0,2019,1,14,196,3,9,0,5,4,23,22,San Diego Padres,California,1876776,0,0,7,162,49,Luis Torrens,0.598,0.357604,2,175,5,0.214,0.045795999999999996,0.043,0.0018489999999999997,C,0.4320987654320987,0,0,41776,555000,555000,0.0,0.0,326000000,555000,70,0.02,0.0004,0,10.64007729093891,13.226723392728571,13.226723392728571
SD,6.5,2019,2024,2019,1,48,2304,3,9,0,5,4,26,25,San Diego Padres,California,1177850,0,0,30,162,900,Joey Lucchesi,0.144,0.020735999999999997,2,204,5,0.063,0.003969,0.185,0.034225,SP,0.4320987654320987,1,1,565100,565100,565100,71.98,5181.120400000001,326000000,565100,70,1.98,3.9204,0,13.244757985617934,13.244757985617934,13.244757985617934
SD,6.4,2019,2024,2019,1,21,441,3,9,0,5,4,26,26,San Diego Padres,California,1602390,0,0,14,162,196,Dinelson Lamet,0.286,0.08179599999999998,2,187,5,0.143,0.020448999999999995,0.086,0.007395999999999999,SP,0.4320987654320987,0,0,566700,566700,566700,0.0,0.0,326000000,566700,70,0.5,0.25,0,13.247585342157711,13.247585342157711,13.247585342157711
SD,6.5,2019,2025,2019,1,15,225,3,9,0,5,4,23,22,San Diego Padres,California,464368,0,0,17,162,289,Nick Margevicius,0.4,0.16000000000000003,2,220,5,0.2,0.04000000000000001,0.105,0.011024999999999998,P,0.4320987654320987,0,0,304368,555000,555000,0.0,0.0,326000000,555000,70,-0.98,0.9603999999999999,0,12.625992774607923,13.226723392728571,13.226723392728571
SD,6.3,2019,0,2019,1,25,625,2,4,0,5,4,24,23,San Diego Padres,California,4353949,0,0,23,162,529,Cal Quantrill,0.195,0.038025,2,195,5,0.08,0.0064,0.142,0.020163999999999998,SP,0.4320987654320987,1,1,390904,555000,555000,40.84,1667.9056000000003,326000000,555000,70,0.07,0.004900000000000001,0,12.876217284524802,13.226723392728571,13.226723392728571
SD,6.2,2019,2023,2019,1,7,49,1,1,0,5,4,26,25,San Diego Padres,California,1825681,0,0,47,162,2209,Luis Perdomo,0.286,0.08179599999999998,2,185,5,0.143,0.020448999999999995,0.29,0.0841,RP,0.4320987654320987,1,1,435664,555000,555000,0.0,0.0,326000000,555000,70,0.49,0.24009999999999998,0,12.984626583031988,13.226723392728571,13.226723392728571
SD,6.2,2019,2020,2018,2,1,1,0,0,0,5,4,35,33,San Diego Padres,California,13408482,0,0,76,162,5776,Craig Stammen,0.0,0.0,2,228,5,0.0,0.0,0.469,0.21996099999999996,RP,0.4320987654320987,0,0,2250000,2250000,2250000,59.22,3507.0083999999997,326000000,4500000,70,0.84,0.7055999999999999,0,14.626440774180603,14.626440774180603,14.626440774180603
SD,6.0,2019,2021,2019,1,4,16,0,0,0,5,4,28,28,San Diego Padres,California,4258372,0,0,37,162,1369,Robbie Erlin,0.0,0.0,2,190,5,0.0,0.0,0.228,0.051984,RP,0.4320987654320987,0,0,1450000,1450000,1450000,0.0,0.0,326000000,1450000,70,-0.46,0.2116,0,14.187074114396758,14.187074114396758,14.187074114396758
SD,6.3,2019,0,2019,1,5,25,0,0,0,5,4,22,22,San Diego Padres,California,2083552,0,0,5,162,25,Ronald Bolanos,0.0,0.0,2,220,5,0.0,0.0,0.031,0.0009609999999999999,SP,0.4320987654320987,1,1,83552,555000,555000,0.0,0.0,326000000,555000,70,-0.08,0.0064,0,11.333224471498855,13.226723392728571,13.226723392728571
WSH,6.1,2019,2020,2019,1,545,297025,174,30276,0,1,7,29,28,Washington Nationals,Washington DC,50300000,34,1156,146,162,21316,Anthony Rendon,1.01,1.0201,1,200,6,0.319,0.101761,0.901,0.811801,3B,0.5740740740740741,126,15876,18800000,18800000,18800000,96.74,9358.6276,184550000,18800000,93,6.33,40.0689,1,16.749367427800177,16.749367427800177,16.749367427800177
WSH,5.9,2019,2022,2015,5,566,320356,158,24964,0,1,7,30,26,Washington Nationals,Washington DC,23002000,15,225,151,162,22801,Adam Eaton,0.792,0.627264,1,180,6,0.279,0.07784100000000002,0.932,0.8686240000000001,RF,0.5740740740740741,49,2401,8400000,8400000,8400000,58.92,3471.5664,184550000,23500000,93,1.75,3.0625,1,15.943742263813542,15.943742263813542,15.943742263813542
WSH,6.2,2019,2023,2019,1,521,271441,155,24025,0,1,7,26,25,Washington Nationals,Washington DC,8128691,19,361,122,162,14884,Trea Turner,0.85,0.7224999999999999,1,185,6,0.298,0.088804,0.753,0.567009,SS,0.5740740740740741,57,3249,3725000,3725000,3725000,88.16,7772.1856,184550000,3725000,93,2.38,5.6644,1,15.130577409795796,15.130577409795796,15.130577409795796
WSH,6.1,2019,2025,2019,1,542,293764,153,23409,0,1,7,20,20,Washington Nationals,Washington DC,2470920,34,1156,152,162,23104,Juan Soto,0.949,0.9006009999999999,1,185,6,0.282,0.07952399999999998,0.938,0.8798439999999998,LF,0.5740740740740741,110,12100,578300,578300,578300,98.41,9684.5281,184550000,578300,93,4.65,21.622500000000002,1,13.26784804414631,13.26784804414631,13.26784804414631
WSH,6.0,2019,2025,2019,1,546,298116,139,19321,0,1,7,22,21,Washington Nationals,Washington DC,934985,17,289,156,162,24336,Victor Robles,0.745,0.555025,1,190,6,0.255,0.065025,0.963,0.9273689999999999,OF,0.5740740740740741,65,4225,557800,557800,557800,75.72,5733.5184,184550000,557800,93,4.09,16.728099999999998,1,13.231755754175525,13.231755754175525,13.231755754175525
WSH,0.0,2019,2020,2018,2,334,111556,115,13225,0,1,7,35,34,Washington Nationals,Washington DC,72320000,17,289,122,162,14884,Howie Kendrick,0.966,0.933156,1,220,6,0.344,0.11833599999999998,0.753,0.567009,LF,0.5740740740740741,62,3844,4000000,4000000,4000000,78.49,6160.6801,184550000,7000000,93,2.64,6.969600000000001,1,15.201804919084164,15.201804919084164,15.201804919084164
WSH,6.2,2019,2022,2014,6,314,98596,70,4900,83333,1,7,31,26,Washington Nationals,Washington DC,23760572,12,144,98,162,9604,Yan Gomes,0.704,0.49561599999999995,1,215,6,0.223,0.049729,0.605,0.366025,C,0.5740740740740741,43,1849,7083333,7000000,7083333,30.15,909.0224999999999,184550000,23000000,93,1.25,1.5625,1,15.773255117607766,15.761420707019587,15.773255117607766
WSH,6.3,2019,2021,2014,6,171,29241,44,1936,0,1,7,34,29,Washington Nationals,Washington DC,139892000,6,36,52,162,2704,Ryan Zimmerman,0.736,0.541696,1,215,6,0.257,0.066049,0.321,0.10304100000000001,1B,0.5740740740740741,27,729,18000000,18000000,18000000,0.0,0.0,184550000,100000000,93,-0.17,0.028900000000000006,1,16.70588231586044,16.70588231586044,16.70588231586044
WSH,6.4,2019,0,2019,1,88,7744,22,484,0,1,7,28,27,Washington Nationals,Washington DC,6053570,1,1,53,162,2809,Michael Taylor,0.669,0.44756100000000004,1,215,6,0.25,0.0625,0.327,0.10692900000000001,CF,0.5740740740740741,3,9,3250000,3250000,3250000,0.0,0.0,184550000,3250000,93,-0.03,0.0009,1,14.994165554305921,14.994165554305921,14.994165554305921
WSH,6.5,2019,2024,2017,7,72,5184,12,144,3333334,1,7,30,28,Washington Nationals,Washington DC,87075000,1,1,34,162,1156,Stephen Strasburg,0.422,0.178084,1,235,6,0.167,0.027889000000000004,0.21,0.04409999999999999,SP,0.5740740740740741,10,100,5000000,35000000,39333334,89.97,8094.6008999999995,184550000,175000000,93,6.29,39.5641,1,15.424948470398375,17.37085861945369,17.48758291071098
WSH,6.0,2019,2025,2019,1,30,900,11,121,0,1,7,25,24,Washington Nationals,Washington DC,1396798,0,0,30,162,900,Andrew Stevenson,0.953,0.9082089999999999,1,192,6,0.367,0.134689,0.185,0.034225,OF,0.5740740740740741,0,0,219438,559100,559100,0.0,0.0,184550000,559100,93,0.22,0.0484,1,12.298825011461311,13.234083627014737,13.234083627014737
WSH,6.3,2019,2022,2015,7,55,3025,10,100,7142857,1,7,34,30,Washington Nationals,Washington DC,109475000,0,0,29,162,841,Max Scherzer,0.364,0.132496,1,208,6,0.182,0.033124,0.179,0.032041,SP,0.5740740740740741,2,4,37505562,30262705,37505562,77.43,5995.404900000001,184550000,210000000,93,5.79,33.5241,1,17.439999799942317,17.225426654265814,17.439999799942317
WSH,6.0,2019,2025,2019,1,31,961,7,49,0,1,7,28,28,Washington Nationals,Washington DC,686057,0,0,29,162,841,Adrian Sanchez,0.476,0.22657599999999997,1,208,6,0.226,0.051076,0.179,0.032041,2B,0.5740740740740741,1,1,255935,560000,560000,0.0,0.0,184550000,560000,93,-0.12,0.0144,1,12.45267878497205,13.235692062711331,13.235692062711331
WSH,6.4,2019,2022,2019,1,19,361,2,4,0,1,7,26,25,Washington Nationals,Washington DC,5228049,0,0,28,162,784,Joe Ross,0.255,0.065025,1,220,6,0.105,0.011024999999999998,0.173,0.029928999999999997,SP,0.5740740740740741,0,0,704256,1000000,1000000,15.13,228.91690000000003,184550000,1000000,93,0.12,0.0144,1,13.464897205404137,13.815510557964274,13.815510557964274
