Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato_x,Anios_de_contrato_y,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
NYM,6.6,2017,2019,1,1,0,43,1849,0,2,2,16,256,16,256,2.875,8.265625,0.4897959183673469,0.23990004164931278,1.4081632653061225,1.982923781757601,2.94,8.6436,33,33,New York Mets,NYM,New York,17785000,49.0,2401.0,75,162,0,Jerry Blevins,0,0,5500000,5,190.0,9,0.46296296296296297,RP,0.4320987654320987,1,1,UFA,69,4761,5500000,5500000,0.038,5500000,30.9,954.81,6500000,6500000,116500000,6500000,6500000,70,1.41,1.9880999999999998,1.37,1.8769000000000002,2,24,576,6,36,15.520258650202699,15.520258650202699,15.520258650202699
CHC,6.2,2017,2018,1,1,1,38,1444,0,2,3,21,441,19,361,4.166666666666667,17.361111111111114,0.27906976744186046,0.07787993510005409,1.1627906976744187,1.3520822065981613,3.98,15.8404,42,41,Chicago Cubs,BOS,Illinois,50650000,43.0,1849.0,49,162,0,Koji Uehara,4,16,6000000,17,195.0,19,0.30246913580246915,RP,0.5679012345679012,2,4,UFA,50,2500,6000000,6000000,0.035,6000000,17.88,319.6944,6000000,6000000,16000000,6000000,6000000,92,0.16,0.0256,1.16,1.3456,3,12,144,3,9,15.60727002719233,15.60727002719233,15.60727002719233
LAA,6.2,2017,0,1,1,0,148,21904,0,5,4,83,6889,82,6724,2.6444444444444444,6.993086419753086,0.32608695652173914,0.10633270321361059,0.8623188405797102,0.7435937828187357,5.35,28.622499999999995,33,33,Los Angeles Angels,LAD,California,15142094,138.0,19044.0,38,162,21,Jesse Chavez,11,121,6550000,1,175.0,10,0.2345679012345679,RP,0.4938271604938271,0,0,UFA,119,14161,6550000,5750000,0.039,6550000,0.0,0.0,5750000,5750000,24750000,5750000,5750000,80,1.1585569620253164,1.3422542342573305,1.4,1.9599999999999997,1,45,2025,7,49,15.694975607611434,15.564710412773533,15.694975607611434
BOS,6.3,2017,2018,1,1,0,2,4,0,1,1,0,0,0,0,249.0,62001.0,0.0,0.0,1.0,1.0,0.0,0.0,31,31,Boston Red Sox,TEX,Massachusetts,18679800,1.0,1.0,149,162,127,Mitch Moreland,0,0,5500000,13,245.0,23,0.9197530864197531,1B,0.5740740740740741,0,0,UFA,1,1,5500000,5500000,0.026,5500000,47.53,2259.1009,5500000,5500000,5500000,5500000,5500000,93,1.86,3.4596000000000005,2.0,4.0,8,0,0,0,0,15.520258650202699,15.520258650202699,15.520258650202699
WSH,6.3,2017,2018,1,1,0,52,2704,0,1,4,29,841,28,784,3.0,9.0,0.29345372460496616,0.08611508848452733,0.8803611738148984,0.7750357963607458,5.68,32.2624,36,36,Washington Nationals,LAD,Washington DC,55598500,44.3,1962.4899999999998,51,163,0,Joe Blanton,4,16,1000000,1,252.0,5,0.3128834355828221,RP,0.5950920245398773,0,0,UFA,39,1521,4000000,4000000,0.022,4000000,3.05,9.302499999999998,4000000,4000000,10400000,4000000,4000000,97,1.1585569620253164,1.3422542342573305,1.47,2.1609,0,13,169,2,4,15.201804919084164,15.201804919084164,15.201804919084164
CIN,5.719234543670264,2017,2018,1,1,0,57,3249,0,2,2,32,1024,27,729,2.0869565217391304,4.355387523629489,0.4204753199268738,0.1767994946676069,0.8775137111517367,0.7700303132592936,4.45,19.802500000000002,29,29,Cincinnati Reds,SEA,Ohio,26091750,54.7,2992.09,58,162,0,Drew Storen,2,4,3150000,10,195.0,15,0.35802469135802467,RP,0.419753086419753,1,1,UFA,48,2304,3150000,3000000,0.033,3150000,10.73,115.1329,3000000,3000000,5300000,3000000,3000000,68,1.1585569620253164,1.3422542342573305,1.46,2.1315999999999997,5,23,529,4,16,14.962913010801817,14.914122846632385,14.962913010801817
ARI,5.719234543670264,2017,2018,1,1,1,40,1600,0,1,5,29,841,26,676,2.5,6.25,0.47016274864376134,0.2210530102122567,1.1754068716094033,1.3815813138266042,4.23,17.892900000000004,40,39,Arizona Diamondbacks,MIA,Arizona,44207500,55.3,3058.0899999999997,61,162,0,Fernando Rodney,4,16,4000000,1,240.0,6,0.3765432098765432,RP,0.5740740740740741,39,1521,UFA,65,4225,4000000,2750000,0.039,4000000,85.15,7250.522500000001,2750000,2750000,9750000,2750000,2750000,93,0.26,0.06760000000000001,1.19,1.4161,1,26,676,5,25,15.201804919084164,14.827111469642754,15.201804919084164
WSH,5.719234543670264,2017,2018,1,1,0,86,7396,0,1,4,53,2809,44,1936,2.0689655172413794,4.280618311533889,0.3815789473684211,0.14560249307479226,0.7894736842105263,0.6232686980609419,5.21,27.144099999999998,33,33,Washington Nationals,SD,Washington DC,84124325,76.0,5776.0,22,163,13,Edwin Jackson,6,36,415264,1,210.0,5,0.13496932515337423,SP,0.5950920245398773,0,0,UFA,60,3600,415264,1000000,0.002,1000000,12.3,151.29000000000002,2450000,1000000,10400000,1000000,2450000,97,1.1585569620253164,1.3422542342573305,1.51,2.2801,0,29,841,5,25,12.936669741536956,13.815510557964274,13.815510557964274
CIN,6.6,2017,2018,1,1,1,116,13456,0,2,2,62,3844,59,3481,2.657142857142857,7.060408163265306,0.31446540880503143,0.09888849333491553,0.8355795148247979,0.6981931255948446,4.77,22.752899999999997,34,33,Cincinnati Reds,TOR,Ohio,54484313,111.3,12387.689999999999,21,162,21,Scott Feldman,7,49,3000000,10,225.0,15,0.12962962962962962,SP,0.419753086419753,0,0,UFA,93,8649,3000000,2300000,0.031,3000000,37.19,1383.0960999999998,2300000,2300000,5300000,2300000,2300000,68,0.48,0.2304,1.36,1.8496000000000004,5,35,1225,7,49,14.914122846632385,14.648419680899378,14.914122846632385
MIN,6.3,2017,2018,1,1,1,47,2209,0,1,2,31,961,27,729,2.4545454545454546,6.024793388429752,0.3709949409780776,0.13763724623132728,0.9106239460370995,0.8292359710961783,4.1,16.81,37,36,Minnesota Twins,WSH,Minnesota,26974500,59.3,3516.49,61,162,0,Matt Belisle,2,4,2050000,6,230.0,15,0.3765432098765432,RP,0.5246913580246914,9,81,UFA,54,2916,2050000,2050000,0.017,2050000,39.68,1574.5024,2050000,2050000,26550000,2050000,2050000,85,0.13,0.016900000000000002,1.16,1.3456,3,22,484,2,4,14.53335035111459,14.53335035111459,14.53335035111459
CHC,6.0,2017,2018,1,1,1,58,3364,0,2,3,19,361,19,361,3.388888888888889,11.484567901234568,0.28892455858747995,0.08347740055497013,0.9791332263242376,0.9587018748921107,2.74,7.507600000000001,34,33,Chicago Cubs,BAL,Illinois,10302500,62.3,3881.2899999999995,68,162,0,Brian Duensing,1,1,2000000,17,200.0,19,0.41975308641975306,RP,0.5679012345679012,0,0,UFA,61,3721,2000000,2000000,0.012,2000000,54.78,3000.8484000000003,2000000,2000000,16000000,2000000,2000000,92,1.39,1.9320999999999997,1.22,1.4884,3,18,324,1,1,14.508657738524219,14.508657738524219,14.508657738524219
SD,6.3,2017,2018,1,1,1,157,24649,0,5,4,82,6724,78,6084,2.125,4.515625,0.39933444259567386,0.15946799704319753,0.8485856905158069,0.7200976741481888,3.89,15.132100000000001,29,28,San Diego Padres,LAA,California,12314609,180.3,32508.090000000004,34,162,32,Jhoulys Chacin,10,100,1750000,2,215.0,5,0.20987654320987653,SP,0.4382716049382716,0,0,UFA,153,23409,1750000,1750000,0.023,1750000,79.71,6353.684099999999,1750000,1750000,8250000,1750000,1750000,71,2.64,6.969600000000001,1.27,1.6129,0,72,5184,13,169,14.375126345899696,14.375126345899696,14.375126345899696
SD,6.5,2017,2020,1,2,0,240,57600,0,5,4,114,12996,105,11025,2.559322033898305,6.550129273197356,0.2990369994931576,0.08942312706587073,0.7653319817536746,0.5857330422950069,4.79,22.9441,33,33,San Diego Padres,SD,California,14450418,197.3,38927.29,32,162,32,Clayton Richard,15,225,2750000,2,240.0,5,0.19753086419753085,SP,0.4382716049382716,0,0,UFA,151,22801,2750000,1750000,0.035,2750000,40.31,1624.8961000000002,1750000,3000000,8250000,6000000,1750000,71,0.64,0.4096,1.51,2.2801,0,59,3481,8,64,14.827111469642754,14.375126345899696,14.827111469642754
KC,6.4,2017,2018,1,1,1,91,8281,0,2,4,50,2500,46,2116,1.9333333333333333,3.7377777777777776,0.5357142857142857,0.2869897959183673,1.0357142857142858,1.0727040816326532,4.93,24.304899999999996,29,28,Kansas City Royals,CHC,Missouri,37961516,84.0,7056.0,21,162,14,Trevor Cahill,3,9,669410,4,230.0,9,0.12962962962962962,RP,0.4938271604938271,0,0,UFA,87,7569,669410,1750000,0.005,1750000,0.0,0.0,1750000,1750000,43800000,1750000,1750000,80,1.1585569620253164,1.3422542342573305,1.62,2.6244000000000005,2,45,2025,4,16,13.414152006398902,14.375126345899696,14.375126345899696
MIA,6.3,2017,2018,1,1,1,77,5929,0,2,6,42,1764,41,1681,2.3703703703703702,5.618655692729766,0.34749034749034746,0.12074954159896242,0.8236808236808236,0.67845009929952,4.75,22.5625,35,34,Miami Marlins,MIA,Florida,10440196,77.7,6037.290000000001,63,162,0,Dustin McGowan,2,4,1750000,2,240.0,2,0.3888888888888889,RP,0.4753086419753086,0,0,UFA,64,4096,1750000,1750000,0.016,1750000,26.16,684.3456,1750000,1750000,57250000,1750000,1750000,77,1.1585569620253164,1.3422542342573305,1.34,1.7956000000000003,2,27,729,8,64,14.375126345899696,14.375126345899696,14.375126345899696
MIL,5.719234543670264,2017,2018,1,1,0,49,2401,0,1,3,21,441,20,400,2.0,4.0,0.40201005025125625,0.16161208050301756,0.8040201005025125,0.6464483220120703,3.02,9.1204,31,31,Milwaukee Brewers,PIT,Wisconsin,6620236,59.7,3564.09,67,162,0,Jared Hughes,3,9,950000,1,240.0,4,0.41358024691358025,RP,0.5308641975308642,1,1,UFA,48,2304,950000,950000,0.014,950000,55.8,3113.64,950000,950000,7550000,950000,950000,86,1.22,1.4884,1.22,1.4884,0,24,576,5,25,13.764217263576723,13.764217263576723,13.764217263576723
