Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,WAR_2,TVS_2,Dominio_2,Control_2,Comando_2
Zack Greinke,2013,UFA,LAA,6,147000000,24500000,Los Angeles Dodgers,7,150850000,LAD,92,162,27,25,6,0.5679012345679012,SP,29,28,177.7,152,54,52,46,148,15,4,0,1.11,2.63,4.21,59.84,29,200,6.2,17000000,19000000,19000000,0.09254048646282749,0.028762583630338272,3.217391304347826,841,784,31577.289999999997,23104,2916,2704,2116,21904,225,16,0,1.2321000000000002,6.916899999999999,17.7241,3580.8256000000006,0.008563741634776759,0.0008272862170922031,10.351606805293006
Anibal Sanchez,2013,UFA,DET,5,80000000,16000000,Detroit Tigers,4,107775000,DET,93,162,15,11,4,0.5740740740740741,RP,29,29,182.0,156,56,52,54,202,14,8,0,1.15,2.57,6.02,80.8,29,205,6.0,8000000,8800000,8800000,0.12332112332112333,0.03296703296703297,3.740740740740741,841,841,33124.0,24336,3136,2704,2916,40804,196,64,0,1.3224999999999998,6.604899999999999,36.240399999999994,6528.639999999999,0.015208099457183709,0.0010868252626494385,13.993141289437586
Edwin Jackson,2013,UFA,WSH,4,52000000,13000000,Chicago Cubs,10,73850000,CHC,66,162,16,17,2,0.4074074074074074,SP,31,31,175.3,197,110,97,59,135,8,18,0,1.46,4.98,-1.35,10.52,29,210,0.0,11000000,13000000,13000000,0.08556759840273816,0.037396209672307786,2.288135593220339,961,961,30730.090000000004,38809,12100,9409,3481,18225,64,324,0,2.1315999999999997,24.800400000000003,1.8225000000000002,110.67039999999999,0.007321813896412278,0.0013984764978552063,5.235564492961793
Kyle Lohse,2013,UFA,STL,3,33000000,11000000,Milwaukee Brewers,7,43300000,MIL,74,162,4,1,0,0.4567901234567901,SP,33,32,198.7,196,78,74,36,125,11,10,0,1.17,3.35,2.93,48.74,34,214,6.2,4000000,4350000,4350000,0.06989878655706537,0.020130850528434826,3.4722222222222223,1089,1024,39481.689999999995,38416,6084,5476,1296,15625,121,100,0,1.3688999999999998,11.2225,8.584900000000001,2375.5876000000003,0.004885840362150183,0.0004052511429981847,12.056327160493828
Rafael Soriano,2013,UFA,NYY,2,28000000,14000000,Washington Nationals,11,67000000,WSH,86,162,2,1,0,0.5308641975308642,RP,68,0,66.7,65,24,23,17,51,3,3,43,1.23,3.11,0.91,9.61,33,230,6.1,11000000,11000000,11000000,0.0849575212393803,0.0283191737464601,3.0,4624,0,4448.89,4225,576,529,289,2601,9,9,1849,1.5129,9.672099999999999,0.8281000000000001,92.3521,0.007217780415139755,0.0008019756016821951,9.0
Jeremy Guthrie,2013,UFA,KC,3,25000000,8333333,Kansas City Royals,5,26100000,KC,86,162,7,2,1,0.5308641975308642,SP,33,33,211.7,236,99,95,59,111,15,12,0,1.39,4.04,1.22,30.71,34,205,6.1,5000000,5000000,5000000,0.05825854196189577,0.03096625203380045,1.88135593220339,1089,1089,44816.88999999999,55696,9801,9025,3481,12321,225,144,0,1.9320999999999997,16.3216,1.4884,943.1041,0.00339405771152597,0.0009589087650208506,3.5395001436368863
Jonathan Broxton,2013,UFA,CIN,3,21000000,7000000,Cincinnati Reds,12,41800000,CIN,90,162,15,10,5,0.5555555555555556,RP,34,0,30.7,27,17,14,12,25,2,2,0,1.27,4.11,-0.42,0.0,29,305,6.4,4000000,4000000,4000000,0.09048136083966703,0.04343105320304017,2.0833333333333335,1156,0,942.49,729,289,196,144,625,4,4,0,1.6129,16.892100000000003,0.17639999999999997,0.0,0.00818687665939803,0.001886256382325306,4.340277777777779
Jeremy Affeldt,2013,UFA,SF,3,18000000,6000000,San Francisco Giants,6,80750000,SF,76,162,23,23,7,0.4691358024691358,RP,39,0,33.7,27,14,14,17,21,1,5,0,1.31,3.74,0.1,0.0,34,226,6.4,5000000,6000000,6000000,0.06923837784371908,0.0560501153972964,1.2352941176470589,1521,0,1135.6900000000003,729,196,196,289,441,1,25,0,1.7161000000000002,13.987600000000002,0.010000000000000002,0.0,0.00479395296642961,0.003141615436050243,1.5259515570934257
Brandon McCarthy,2013,UFA,OAK,2,15500000,7750000,Arizona Diamondbacks,7,54650000,ARI,81,162,5,1,1,0.5,SP,22,22,135.0,161,71,68,21,76,5,11,0,1.35,4.53,-0.22,34.32,29,225,6.7,4000000,5250000,5250000,0.06255144032921811,0.01728395061728395,3.619047619047619,484,484,18225.0,25921,5041,4624,441,5776,25,121,0,1.8225000000000002,20.5209,0.0484,1177.8624,0.003912682687259734,0.0002987349489407102,13.097505668934241
Joe Blanton,2013,UFA,LAD,2,15000000,7500000,Los Angeles Angels,8,153500000,LAA,78,162,10,1,1,0.4814814814814814,RP,28,20,132.7,180,96,89,34,108,2,14,0,1.61,6.04,-1.92,0.0,32,252,6.3,6500000,6500000,6500000,0.0904295403165034,0.028468558988528847,3.176470588235294,784,400,17609.289999999997,32400,9216,7921,1156,11664,4,196,0,2.5921000000000003,36.4816,3.6864,0.0,0.008177501761854113,0.0008104588508833466,10.089965397923875
