Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
ATL,ATL,6.0,6.0,0,0,2019,1,1,0,0,1296,3249,36,57,0,0,6,4,1,1,529,529,529,484,23,22,23,23,2.3156899810964084,9.836776859504132,1.5217391304347827,3.1363636363636362,0.6161982084823353,0.12880253560032892,0.7849829351535836,0.35889070146818924,1.4269240177520996,1.267001801638773,1.1945392491467577,1.1256117455138663,49.843599999999995,10.4329,7.06,3.23,25,24,25,Atlanta Braves,Atlanta Braves,Georgia,2061220,1486220,858.49,3757.6899999999996,29.3,61.3,0,0,36,65,161,162,A.J. Minter,16,9,4,3,575000,555000,18,18,215.0,215.0,25,24,0.2236024844720497,0.4012345679012346,RP,RP,0.6024844720496895,0.5555555555555556,25,225,5,15,1225,4761,35,69,374011,555000,575000,555000,0.003,0.004,575000,555000,0.0,5592.048400000001,0.0,74.78,575000,555000,52210000,2900000,575000,555000,97,90,1.3834999818255351,0.7055999999999999,1.1762227602905562,0.84,4.040099999999999,1.6641000000000001,2.01,1.29,3,3,529,484,23,22,9,16,3,4,12.832040487728857,13.262125319779487,13.262125319779487
CHW,CHW,6.3,6.3,2025,0,2019,1,1,0,0,1849,1600,43,40,0,0,3,2,2,2,289,361,256,225,16,15,17,19,6.25,12.25,2.5,3.5,0.12567391546247345,0.0995133795738837,0.35450516986706054,0.31545741324921134,0.7854619716404591,1.2190388997800754,0.8862629246676513,1.1041009463722398,4.536899999999999,18.147599999999997,2.13,4.26,25,24,25,Chicago White Sox,Chicago White Sox,Illinois,1051361,588841,4583.29,1004.89,67.7,31.7,0,0,58,37,161,162,Aaron Bummer,0,1,0,1,462520,293000,6,6,215.0,215.0,9,9,0.36024844720496896,0.22839506172839505,RP,RP,0.4472049689440994,0.382716049382716,1,0,1,0,3600,1225,60,35,462520,293000,555000,549000,0.005,0.004,555000,549000,9085.902399999999,0.0,95.32,0.0,555000,549000,24500000,19750000,555000,549000,72,62,7.5625,1.439541802564349,2.75,1.1998090692124097,0.9801,2.4964000000000004,0.99,1.58,3,3,576,100,24,10,0,0,0,0,13.044445078242898,13.226723392728571,13.226723392728571
PHI,PHI,6.2,6.2,2024,2022,2019,4,1,1,1,30976,22201,176,149,500000,0,4,4,2,2,8281,3249,7569,3136,87,56,91,57,8.19390625,14.915576694411417,2.8625,3.8620689655172415,0.1563825204415167,0.0746373134649574,0.3954522985664854,0.2731983042863872,1.2813837116364963,1.1132585732513978,1.1319822046465644,1.0551106924163918,14.9769,5.6169,3.87,2.37,25,24,26,Philadelphia Phillies,Philadelphia Phillies,Pennsylvania,11143391,5143391,40925.29000000001,45071.29000000001,202.3,212.3,34,33,34,33,162,162,Aaron Nola,49,36,7,6,6000000,573000,7,7,195.0,195.0,14,14,0.20987654320987653,0.2037037037037037,SP,SP,0.5,0.4938271604938271,0,0,0,0,52441,50176,229,224,4500000,573000,4000000,573000,0.028,0.006,4500000,573000,5527.922499999999,9982.0081,74.35,99.91,11250000,573000,403000000,169200000,45000000,573000,81,80,13.0321,93.89609999999999,3.61,9.69,1.5876000000000001,0.9603999999999999,1.26,0.98,2,2,6400,3364,80,58,144,289,12,17,15.319587954740548,15.201804919084164,15.319587954740548
HOU,TOR,6.4,6.4,2021,2021,2019,1,1,0,0,21025,11236,145,106,0,0,3,3,2,1,8464,3844,7396,3249,86,57,92,62,2.8600778546712804,2.198573127229489,1.6911764705882353,1.4827586206896552,0.26821828002707704,0.30512471655328804,0.5178979436405179,0.5523809523809524,0.7671251629234631,0.6708390022675736,0.8758568164508758,0.819047619047619,34.692099999999996,23.912099999999995,5.89,4.89,26,25,26,Houston Astros,Toronto Blue Jays,Texas,9101744,5201744,17239.690000000002,11025.0,131.3,105.0,27,20,30,20,161,162,Aaron Sanchez,196,36,14,6,1258065,2700000,3,2,210.0,210.0,13,7,0.18633540372670807,0.12345679012345678,SP,SP,0.6583850931677019,0.4506172839506173,0,0,0,0,13225,7396,115,86,1258065,2700000,3900000,2700000,0.008,0.018,3900000,2700000,143.52040000000002,796.9329,11.98,28.23,3900000,2700000,42250000,17000000,3900000,2700000,106,73,1.3834999818255351,0.48999999999999994,1.1762227602905562,0.7,2.6244000000000005,2.4336,1.62,1.56,1,2,4624,3364,68,58,25,16,5,4,14.045085384224086,15.176487111099874,15.176487111099874
LAA,MIN,5.919150943396229,5.858590733590735,2023,0,2019,1,1,1,1,1089,289,33,17,0,0,4,6,5,1,625,25,529,25,23,5,25,5,2.0408163265306123,2.0864197530864197,1.4285714285714286,1.4444444444444444,0.4501423919811368,0.16288282491101772,0.6709265175718849,0.40358744394618834,0.9186579428186468,0.33984194333286416,0.9584664536741214,0.5829596412556054,43.6921,4.0804,6.61,2.02,25,24,26,Los Angeles Angels,Minnesota Twins,California,1586434,1101663,979.69,497.29,31.3,22.3,0,4,35,5,161,162,Adalberto Mejia,4,0,2,0,123451,213890,1,6,195.0,195.0,10,15,0.21739130434782608,0.030864197530864196,RP,SP,0.4472049689440994,0.4814814814814814,0,0,0,0,900,169,30,13,123451,213890,560000,545000,0.001,0.002,560000,545000,0.0,0.0,0.0,0.0,560000,545000,31000000,52250000,560000,545000,72,78,1.3834999818255351,1.0,1.1762227602905562,1.0,2.9583999999999997,1.3456,1.72,1.16,1,3,441,81,21,9,0,4,0,2,11.723599595186041,13.235692062711331,13.235692062711331
MIA,MIA,6.3,6.3,0,0,2019,1,1,1,1,5776,1369,76,37,0,0,2,1,2,2,2025,625,1936,529,44,23,45,25,3.340071343638526,7.716049382716049,1.8275862068965518,2.7777777777777777,0.22825411386650526,0.12604600679247924,0.47775947281713343,0.35502958579881655,0.7623850247931192,0.9725772129049324,0.8731466227347611,0.9861932938856015,42.6409,16.728099999999998,6.53,4.09,28,27,29,Miami Marlins,Miami Marlins,Florida,3389832,2264832,3684.4900000000002,2570.4900000000002,60.7,50.7,0,0,60,52,162,161,Adam Conley,121,16,11,4,1125000,398480,2,2,200.0,200.0,2,2,0.37037037037037035,0.32298136645962733,RP,RP,0.3518518518518518,0.391304347826087,4,9,2,3,2809,2500,53,50,1125000,398480,1125000,545000,0.015,0.004,1125000,545000,7.290000000000001,2045.7528999999997,2.7,45.23,1125000,545000,4500000,3250000,1125000,545000,57,63,1.3834999818255351,1.439541802564349,1.1762227602905562,1.1998090692124097,2.9929,1.1881000000000002,1.73,1.09,2,2,841,324,29,18,4,9,2,3,13.933293593620657,13.933293593620657,13.933293593620657
LAD,TB,6.3,6.3,2025,0,2019,1,1,1,1,2304,1444,48,38,0,0,3,2,5,2,484,225,400,225,20,15,22,15,7.91015625,14.44,2.8125,3.8,0.08462809917355371,0.021249649380785218,0.2909090909090909,0.1457725947521866,0.6694214876033059,0.3068449370585386,0.8181818181818182,0.5539358600583091,10.6929,15.4449,3.27,3.93,29,28,30,Los Angeles Dodgers,Tampa Bay Rays,California,876645,327915,3025.0,1176.4899999999998,55.0,34.3,0,0,82,31,161,162,Adam Kolarek,9,0,3,0,183915,225610,25,1,215.0,215.0,33,4,0.5093167701863354,0.19135802469135801,RP,RP,0.6521739130434783,0.5555555555555556,1,4,1,2,2025,361,45,19,183915,225610,560800,545000,0.001,0.003,560800,545000,2560.36,0.0,50.6,0.0,560800,545000,85000000,6500000,560800,545000,105,90,0.22089999999999999,0.0144,0.47,0.12,1.3456,1.5625,1.16,1.25,6,0,256,25,16,5,36,1,6,1,12.122228973334597,13.237119614702518,13.237119614702518
PHI,PHI,6.1,6.1,2022,0,2019,1,1,1,1,400,2401,20,49,0,0,4,4,2,2,196,625,169,441,13,21,14,25,8.41,5.165289256198348,2.9,2.272727272727273,0.11336711673412012,0.19913679957539432,0.3367003367003367,0.44624746450304265,0.9534174517339501,1.0285991713605076,0.9764309764309764,1.0141987829614605,15.5236,14.6689,3.94,3.83,28,27,29,Philadelphia Phillies,Philadelphia Phillies,Pennsylvania,3078494,1978494,882.0899999999999,2430.49,29.7,49.3,0,0,40,68,162,162,Adam Morgan,9,4,3,2,1100000,560000,7,7,200.0,200.0,14,14,0.24691358024691357,0.41975308641975306,RP,RP,0.5,0.4938271604938271,0,1,0,1,841,2500,29,50,1100000,560000,1100000,560000,0.007,0.005,1100000,560000,0.0,1381.6089000000002,0.0,37.17,1100000,560000,403000000,169200000,1100000,560000,81,80,0.0961,0.2916,0.31,0.54,1.0201,2.0736,1.01,1.44,2,2,100,484,10,22,9,0,3,0,13.9108207377686,13.9108207377686,13.9108207377686
STL,STL,6.7,6.7,2020,2019,2019,1,5,0,4,32761,1681,181,41,0,0,1,3,2,2,6889,441,6400,400,80,20,83,21,5.715087890625,4.938271604938272,2.390625,2.2222222222222223,0.13893746084327852,0.19949633333128095,0.3727431566686081,0.44665012406947896,0.794039800019606,0.985167078179165,0.8910891089108911,0.9925558312655087,17.556100000000004,19.8916,4.19,4.46,37,32,37,St. Louis Cardinals,St. Louis Cardinals,Missouri,146603000,136603000,29480.889999999996,1624.0899999999997,171.7,40.3,32,8,32,8,162,162,Adam Wainwright,100,16,10,4,10000000,19500000,23,23,230.0,230.0,29,28,0.19753086419753085,0.04938271604938271,SP,SP,0.5617283950617284,0.5432098765432098,0,0,0,0,23409,1600,153,40,10000000,19500000,2000000,19500000,0.058,0.119,10000000,19500000,4515.84,0.0,67.2,0.0,2000000,19500000,25000000,28000000,2000000,97500000,91,88,2.7889,0.0625,1.67,0.25,2.0448999999999997,2.1315999999999997,1.43,1.46,11,11,4096,324,64,18,196,4,14,2,16.11809565095832,14.508657738524219,16.11809565095832
TEX,TEX,6.3,6.3,2025,0,2019,1,1,0,0,24336,576,156,24,0,0,6,4,2,2,7396,169,6724,121,82,11,86,13,7.871141975308641,14.0625,2.8055555555555554,3.75,0.08254729749956848,0.030245746691871453,0.28731045490822027,0.17391304347826086,0.6497414982971436,0.42533081285444235,0.8060654429369514,0.6521739130434783,34.692099999999996,18.49,5.89,4.3,27,26,27,Texas Rangers,Texas Rangers,Texas,1168909,625844,15700.09,529.0,125.3,23.0,15,4,35,5,162,162,Adrian Sampson,64,9,8,3,543065,79110,2,2,210.0,210.0,8,8,0.21604938271604937,0.030864197530864196,RP,RP,0.4814814814814814,0.4135802469135802,0,0,0,0,10201,225,101,15,543065,79110,555000,545000,0.004,0.001,555000,545000,0.0,0.0,0.0,0.0,555000,545000,47250000,35000000,555000,545000,78,67,1.4641,0.04000000000000001,1.21,0.2,2.3409,1.4884,1.53,1.22,0,0,1296,16,36,4,36,0,6,0,13.20498429709266,13.226723392728571,13.226723392728571
