Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
MIL,No,6.241570881226049,2011,2013,3,1,214,45796,0,1,1,95,9025,87,7569,2.0303030303030303,4.122130394857668,0.31088082901554404,0.09664688984939193,0.6311822892133773,0.39839108221663944,3.69,13.6161,34,33,Milwaukee Brewers,Wisconsin,62962104,212.3,45071.29000000001,33,162,33,Randy Wolf,10,100,9500000,1,215.48312611012435,4,0.2037037037037037,SP,0.5925925925925926,0,0,134,17956,9500000,9500000,0.103,9500000,43.6,1900.96,9916667,775000,29750000,96,2.51,6.300099999999999,1.32,1.7424000000000002,0,66,4356,13,169,16.06680235657077,16.06680235657077,16.06680235657077
MIL,No,6.2,2011,0,5,2,193,37249,250000,1,1,92,8464,81,6561,3.5084745762711864,12.30939385234128,0.28461167390255665,0.08100380492161524,0.9985528219971056,0.9971077383183833,3.52,12.3904,25,23,Milwaukee Brewers,Wisconsin,6923000,207.3,42973.29000000001,33,162,33,Yovani Gallardo,10,100,3250000,1,205.0,4,0.2037037037037037,RP,0.5925925925925926,0,0,207,42849,3500000,3250000,0.038,3500000,60.27,3632.4729,6020000,775000,30100000,96,2.26,5.107599999999999,1.22,1.4884,0,59,3481,17,289,15.068273526459642,14.994165554305921,15.068273526459642
MIL,No,6.0,2011,0,1,0,175,30625,0,1,1,84,7056,79,6241,2.7719298245614037,7.6835949522930145,0.28400597907324365,0.0806593961493517,0.787244643746886,0.6197541291081614,3.54,12.531600000000001,29,29,Milwaukee Brewers,Wisconsin,6442800,200.7,40280.49,33,162,33,Shaun Marcum,7,49,3950000,1,215.48312611012435,4,0.2037037037037037,SP,0.5925925925925926,0,0,158,24964,3950000,3950000,0.043,3950000,69.58,4841.3764,3950000,775000,3950000,96,2.92,8.526399999999999,1.16,1.3456,0,57,3249,13,169,15.189226136877304,15.189226136877304,15.189226136877304
MIL,No,6.2,2011,2013,4,2,161,25921,0,1,1,82,6724,73,5329,4.466666666666667,19.95111111111111,0.262085032032615,0.06868856401553684,1.1706464764123472,1.3704131727366442,3.83,14.6689,27,25,Milwaukee Brewers,Wisconsin,29897172,171.7,29480.889999999996,29,162,28,Zack Greinke,6,36,13500000,1,200.0,4,0.17901234567901234,SP,0.5925925925925926,0,0,201,40401,13500000,13500000,0.146,13500000,45.52,2072.0704,9500000,775000,38000000,96,1.41,1.9880999999999998,1.2,1.44,0,45,2025,16,256,16.41820024340866,16.41820024340866,16.41820024340866
MIL,No,6.3,2011,0,1,0,160,25600,0,1,1,82,6724,80,6400,1.9384615384615385,3.7576331360946744,0.40197897340754485,0.16158709506178365,0.7792207792207793,0.6071850227694384,4.45,19.802500000000002,29,29,Milwaukee Brewers,Wisconsin,850650,161.7,26146.889999999996,30,162,28,Chris Narveson,8,64,444150,1,205.0,4,0.18518518518518517,RP,0.5925925925925926,0,0,126,15876,444150,444150,0.005,444150,0.0,0.0,444150,775000,444150,96,0.56,0.31360000000000005,1.39,1.9320999999999997,0,65,4225,11,121,13.003917622197847,13.003917622197847,13.003917622197847
MIL,No,6.0,2011,0,1,0,83,6889,0,1,1,45,2025,42,1764,3.0344827586206895,9.20808561236623,0.3128371089536138,0.09786705673845522,0.9492988133764833,0.9011682370779992,4.08,16.6464,27,27,Milwaukee Brewers,Wisconsin,740808,92.7,8593.29,43,162,7,Marco Estrada,8,64,414000,1,180.0,4,0.2654320987654321,SP,0.5925925925925926,0,0,88,7744,414000,414000,0.005,414000,15.65,244.9225,414000,775000,414000,96,0.36,0.1296,1.21,1.4641,0,29,841,4,16,12.933621252807452,12.933621252807452,12.933621252807452
MIL,No,6.5,2011,0,1,1,59,3481,0,1,1,19,361,16,256,3.44,11.833599999999999,0.33921302578018997,0.11506547685895183,1.1668928086838535,1.3616388269580924,1.96,3.8415999999999997,28,27,Milwaukee Brewers,Wisconsin,842500,73.7,5431.6900000000005,74,162,0,John Axford,2,4,442500,1,234.0,4,0.4567901234567901,RP,0.5925925925925926,46,2116,86,7396,442500,442500,0.005,442500,97.83,9570.7089,442500,775000,442500,96,2.27,5.1529,1.14,1.2995999999999999,0,25,625,2,4,13.00019574343012,13.00019574343012,13.00019574343012
MIL,No,6.0,2011,0,3,3,67,4489,666667,1,1,22,484,21,441,3.0384615384615383,9.232248520710058,0.36262203626220363,0.13149474118294693,1.101813110181311,1.2139921297674134,2.64,6.969600000000001,29,26,Milwaukee Brewers,Wisconsin,57069166,71.7,5140.89,73,162,0,Francisco Rodriguez,2,4,2450819,1,180.0,4,0.4506172839506173,RP,0.5925925925925926,23,529,79,6241,2450819,11500000,0.027,12166667,9.28,86.1184,12333333,775000,37000000,96,0.94,0.8835999999999999,1.3,1.6900000000000002,0,26,676,6,36,14.711932812374174,16.25785759333348,16.31421055728187
MIL,No,6.5,2011,2012,2,1,50,2500,250000,1,1,15,225,13,169,2.8,7.839999999999999,0.2070393374741201,0.04286528726172259,0.5797101449275363,0.3360638521319051,2.42,5.8564,38,37,Milwaukee Brewers,Wisconsin,35750000,48.3,2332.89,52,162,0,LaTroy Hawkins,1,1,4000000,1,195.0,4,0.32098765432098764,RP/CL,0.5925925925925926,0,0,28,784,4250000,4000000,0.046,4250000,59.05,3486.9024999999997,3750000,775000,7500000,96,0.94,0.8835999999999999,1.24,1.5376,0,10,100,3,9,15.2624295409006,15.201804919084164,15.2624295409006
MIL,No,6.2,2011,0,1,1,2,4,0,1,1,0,0,0,0,0.6666666666666666,0.4444444444444444,1.5,2.25,1.0,1.0,0.0,0.0,26,25,Milwaukee Brewers,Wisconsin,416500,2.0,4.0,2,162,0,Michael Fiers,0,0,414000,1,211.0,4,0.012345679012345678,SP,0.5925925925925926,0,0,2,4,414000,414000,0.005,414000,0.0,0.0,414000,775000,414000,96,0.06,0.0036,2.5,6.25,0,3,9,0,0,12.933621252807452,12.933621252807452,12.933621252807452
