Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_promedio_2_t,Bateos_promedio_2_t_1,Bateos_promedio_t,Bateos_promedio_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Dobles_2_t,Dobles_2_t_1,Dobles_t,Dobles_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_anterior,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_On_base_plus_slugging_2_t,Porcentaje_On_base_plus_slugging_2_t_1,Porcentaje_On_base_plus_slugging_t,Porcentaje_On_base_plus_slugging_t_1,Porcentaje_juegos_iniciados_2_t,Porcentaje_juegos_iniciados_2_t_1,Porcentaje_juegos_iniciados_t,Porcentaje_juegos_iniciados_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Porcentaje_on_base_2_t,Porcentaje_on_base_2_t_1,Porcentaje_on_base_t,Porcentaje_on_base_t_1,Porcentaje_slugging_2_t,Porcentaje_slugging_2_t_1,Porcentaje_slugging_t,Porcentaje_slugging_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Runs_batted_in_2_t,Runs_batted_in_2_t_1,Runs_batted_in_t,Runs_batted_in_t_1,Status_agente_libre,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Triples_2_t,Triples_2_t_1,Triples_t,Triples_t_1,Valor_contrato,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
NYM,NYM,5.718369351669941,5.721339712918669,2021,2017,2017,4,4,3,0,0,84681,229441,291,479,7225,18496,0.08526399999999999,0.08065599999999999,0.292,0.284,85,136,0,10000000,2,9,2,2,289,625,17,25,31,30,31,NYM,New York Mets,New York Mets,New York,86000000,63500000,289,961,17,31,5776,15876,76,126,81,132,162,161,Yoenis Cespedes,22500000,27500000,5,5,220.0,220.0,9,9,0.795664,0.795664,0.892,0.892,0.21996099999999996,0.605284,0.469,0.778,0.5,0.815,0.12390399999999999,0.12744899999999998,0.352,0.357,0.2916,0.285156,0.54,0.534,CF,CF,0.4320987654320987,0.5403726708074534,1764,7396,42,86,UFA,22500000,27500000,22500000,17500000,0.156,0.186,22500000,27500000,0.0,2860.1103999999996,0.0,53.48,4,1,2,1,110000000,27500000,25000000,116500000,48757500,110000000,75000000,27500000,70,87,3.8415999999999997,8.7025,1.96,2.95,2,2,16.929025867174648,16.929025867174648,16.929025867174648
STL,CHC,6.5,6.5,2022,2017,2017,5,5,1,1,1,176400,207936,420,456,12321,15876,0.06969600000000001,0.07617600000000001,0.264,0.276,111,126,2000000,0,2,15,2,2,484,625,22,25,30,29,31,CHC,St. Louis Cardinals,Chicago Cubs,Missouri,49705000,33205000,324,169,18,13,11881,13924,109,118,118,125,162,160,Dexter Fowler,16500000,8000000,23,17,205.0,205.0,28,18,0.724201,0.7055999999999999,0.851,0.84,0.4529290000000001,0.529984,0.673,0.728,0.728,0.772,0.131769,0.154449,0.363,0.393,0.238144,0.19980900000000001,0.488,0.447,CF,CF,0.5123456790123457,0.6375,4096,2304,64,48,UFA,16500000,8000000,14500000,8000000,0.114,0.043,16500000,8000000,2315.5343999999996,6783.1696,48.12,82.36,81,49,9,7,82500000,16500000,13000000,113000000,291277500,82500000,13000000,16500000,83,102,3.0976,15.920100000000001,1.76,3.99,11,3,16.61887093887081,16.489659207390805,16.61887093887081
COL,TEX,6.3,6.3,2023,2017,2017,5,5,1,0,0,114921,390625,339,625,8649,31684,0.07507600000000002,0.08122499999999999,0.274,0.285,93,178,0,0,4,10,1,2,121,841,11,29,31,30,31,TEX,Colorado Rockies,Texas Rangers,Colorado,39484000,31484000,49,484,7,22,7744,24025,88,155,95,156,162,161,Ian Desmond,8000000,8000000,1,2,220.0,220.0,4,8,0.4914009999999999,0.6115240000000001,0.701,0.782,0.294849,0.9158489999999999,0.543,0.957,0.586,0.963,0.10627600000000001,0.11222500000000002,0.326,0.335,0.140625,0.198916,0.375,0.446,LF,LF,0.5370370370370371,0.5900621118012422,1600,7396,40,86,UFA,8000000,8000000,8000000,8000000,0.057,0.049,8000000,8000000,0.0,4740.322499999999,0.0,68.85,1,9,1,3,70000000,14000000,8000000,97250000,20165000,70000000,8000000,14000000,87,95,3.009561375376984,4.8841,1.7348087431693973,2.21,0,0,15.89495209964411,15.89495209964411,15.89495209964411
HOU,LAD,6.2,6.2,2021,2017,2017,4,4,1,1,1,227529,158404,477,398,22500,12544,0.09922500000000001,0.07896100000000002,0.315,0.281,150,112,0,0,3,8,2,5,1156,289,34,17,29,28,30,LAD,Houston Astros,Los Angeles Dodgers,Texas,28327500,15327500,169,100,13,10,14641,10201,121,101,134,115,162,161,Josh Reddick,13000000,2263524,2,25,197.0,197.0,11,30,0.717409,0.561001,0.847,0.749,0.558009,0.389376,0.747,0.624,0.827,0.71,0.131769,0.11902499999999998,0.363,0.345,0.234256,0.16402500000000003,0.484,0.405,RF,RF,0.6234567901234568,0.5652173913043478,6724,1369,82,37,UFA,13000000,2263524,13000000,6575000,0.094,0.009,13000000,6575000,4416.931599999999,827.7129,66.46,28.77,16,1,4,1,52000000,13000000,6575000,82000000,79750000,52000000,6575000,13000000,101,91,20.25,0.0016,4.5,0.04,1,6,16.38045991542581,16.38045991542581,16.38045991542581
LAD,LAD,6.5,6.5,2020,2017,2017,3,3,1,1,1,2025,144,45,12,25,0,0.012321,0.0,0.111,0.0,5,0,666666,0,6,8,5,5,1,0,1,0,36,35,37,LAD,Los Angeles Dodgers,Los Angeles Dodgers,California,25214059,11214059,0,0,0,0,625,400,25,20,25,20,162,161,Rich Hill,14000000,2065574,25,25,221.0,221.0,31,30,0.07784100000000002,0.0,0.279,0.0,0.023716,0.015375999999999999,0.154,0.124,0.154,0.124,0.021315999999999998,0.0,0.146,0.0,0.017689000000000003,0.0,0.133,0.0,SP,SP,0.6419753086419753,0.5652173913043478,16,0,4,0,UFA,12666666,2065574,12000000,6000000,0.049,0.008,12666666,6000000,4595.484100000001,8587.7289,67.79,92.67,0,0,0,0,48000000,16000000,6000000,199600000,79750000,48000000,6000000,16000000,104,91,4.8841,1.9320999999999997,2.21,1.39,6,6,16.35448437639097,16.300417207752275,16.35448437639097
BAL,BAL,6.4,6.4,2020,2017,2017,3,3,1,1,1,312481,375769,559,613,17424,24649,0.055695999999999996,0.065536,0.236,0.256,132,157,0,0,5,8,1,1,484,729,22,27,30,29,31,BAL,Baltimore Orioles,Baltimore Orioles,Maryland,36029000,24529000,529,2209,23,47,20449,25281,143,159,146,159,162,161,Mark Trumbo,11500000,9150000,7,7,225.0,225.0,14,14,0.47472099999999995,0.7224999999999999,0.689,0.85,0.779689,0.964324,0.883,0.982,0.901,0.982,0.0841,0.099856,0.29,0.316,0.159201,0.28408900000000004,0.399,0.533,DH,DH,0.4629629629629629,0.546583850931677,4225,11664,65,108,UFA,10000000,9150000,11500000,9150000,0.057,0.061,11500000,9150000,90.6304,4858.09,9.52,69.7,0,1,0,1,37500000,12500000,9150000,55600000,220260000,37500000,9150000,12500000,75,88,3.009561375376984,4.368099999999999,1.7348087431693973,2.09,3,3,16.11809565095832,16.25785759333348,16.25785759333348
TOR,KC,6.1,6.1,2020,2017,2017,3,3,2,1,2,310249,311364,557,558,19321,21609,0.0625,0.06916900000000001,0.25,0.263,139,147,0,0,6,10,1,2,625,576,25,24,33,31,34,KC,Toronto Blue Jays,Kansas City Royals,Toronto,51326205,41326205,784,900,28,30,19881,22201,141,149,150,154,162,161,Kendrys Morales,10000000,9600819,2,4,225.0,225.0,7,9,0.567009,0.6320250000000001,0.753,0.795,0.7569,0.8464,0.87,0.92,0.926,0.951,0.094864,0.10692900000000001,0.308,0.327,0.198025,0.21902400000000002,0.445,0.468,DH,DH,0.4691358024691358,0.5031055900621118,7225,8649,85,93,UFA,10000000,9650000,10000000,9000000,0.057,0.068,10000000,9650000,388.87839999999994,1960.7184000000002,19.72,44.28,0,0,0,0,33000000,11000000,8500000,70000000,186750000,33000000,17000000,11000000,76,81,0.0009,0.8649000000000001,0.03,0.93,2,2,16.11809565095832,16.11809565095832,16.11809565095832
PIT,PIT,6.5,6.5,2020,2017,2017,3,3,1,1,1,2601,676,51,26,1,9,0.0004,0.013225,0.02,0.115,1,3,666666,0,2,10,2,2,0,0,0,0,29,28,30,PIT,Pittsburgh Pirates,Pittsburgh Pirates,Pennsylvania,22390211,12640211,0,0,0,0,961,676,31,26,31,32,162,160,Ivan Nova,9750000,1411475,9,9,250.0,250.0,17,17,0.001521,0.053361000000000006,0.039,0.231,0.036481,0.025921000000000003,0.191,0.161,0.191,0.198,0.0004,0.013225,0.02,0.115,0.0004,0.013225,0.02,0.115,SP,SP,0.4629629629629629,0.4875,0,0,0,0,UFA,8416666,1411475,7000000,4100000,0.084,0.014,8416666,4100000,2830.2400000000002,1327.8736,53.2,36.44,0,0,0,0,26000000,8666667,4100000,37000000,25150000,26000000,4100000,8666667,75,78,3.9204,0.4096,1.98,0.64,5,5,15.945724345809609,15.761420707019587,15.945724345809609
MIN,HOU,6.3,6.3,2020,2017,2017,3,3,1,1,1,126736,108241,356,329,7396,4761,0.058564,0.04409999999999999,0.242,0.21,86,69,0,0,2,3,1,2,484,256,22,16,29,28,30,HOU,Minnesota Twins,Houston Astros,Minnesota,23651422,15151422,100,121,10,11,10816,10404,104,102,110,113,162,161,Jason Castro,8500000,5000000,6,1,215.0,215.0,15,10,0.5184,0.46785600000000005,0.72,0.684,0.41216400000000003,0.39690000000000003,0.642,0.63,0.679,0.698,0.11088900000000002,0.094249,0.333,0.307,0.150544,0.142129,0.388,0.377,C,C,0.5246913580246914,0.5217391304347826,2209,1024,47,32,UFA,8500000,5000000,8500000,5000000,0.07,0.048,8500000,5000000,1045.8756000000003,519.84,32.34,22.8,0,9,0,3,24500000,8166667,5000000,26550000,26000000,24500000,5000000,8166667,85,84,6.6564000000000005,0.9409,2.58,0.97,3,0,15.955576721460545,15.955576721460545,15.955576721460545
MIA,KC,5.718369351669941,5.721339712918669,2019,2017,2017,2,2,2,0,1,676,25,26,5,25,0,0.036864,0.0,0.192,0.0,5,0,0,0,6,10,2,2,0,0,0,0,33,31,33,KC,Miami Marlins,Kansas City Royals,Florida,31752000,22752000,0,0,0,0,289,1156,17,34,17,34,162,161,Edinson Volquez,9000000,9500000,2,4,220.0,220.0,2,9,0.165649,0.0,0.407,0.0,0.011024999999999998,0.04409999999999999,0.105,0.21,0.105,0.21,0.045795999999999996,0.0,0.214,0.0,0.036864,0.0,0.192,0.0,SP,SP,0.4753086419753086,0.5031055900621118,1,0,1,0,UFA,9000000,9500000,9000000,9500000,0.081,0.067,9000000,9500000,1395.7695999999999,67.40410000000001,37.36,8.21,0,0,0,0,22000000,11000000,10000000,57250000,186750000,22000000,20000000,11000000,77,81,0.31360000000000005,3.0175853971921485,0.56,1.7371198568872985,2,2,16.012735135300492,16.012735135300492,16.012735135300492
